Variable,Priority,Comment,Source,,,
SEQN,1,Respondent sequence number. This variable is required for grouping the analysis by individual.,Survey,,,
WTDRD1,0,Dietary day one sample weight. Not a variable of interest for this case. This variable can be dropped.,Survey,,,
DR1ILINE,1,One of the key variables for the file. The primary key variables are SEQN and DR1ILINE. Can potentially be used for individual food item analysis.,Survey,,,
DR1FS,2,"Source of food. This variable can potentially be used for sourcing analysis. For categorical value mapping, see https://wwwn.cdc.gov/nchs/nhanes/search/default.aspx. Mapping may be different for each survey.",Survey,,,
DR1IFDCD,2,USDA food code. Maybe useful for categorizing food items. Reference the USDA for a mapping.,Survey,,,
DR1IGRMS,2,Gram weight of the food/individual component. May be useful for understanding seafood consumption by weight.,Survey,,,
DR1.020,1,"Time of eating occasion (HH:MM). May be useful for temporal analysis. May also be useful to understand relationship between side dishes consumed with seafood. I.e. confirming that it is indeed a seafood side dish, using time as a determinant.",Survey,,,
DR1.030Z,1,"Name of eating occasion. May be useful for grouping by meal. A code mapping is available in https://wwwn.cdc.gov/nchs/nhanes/search/default.aspx, but may be different for each survey.",Survey,,,
DR1.040Z,2,Did you eat this meal at home? May be useful for food sourcing. Needs mapping from documentation.,Survey,,,
DR1IKCAL,2,"Energy (kcal). May be useful to undestand proportional seafood consumption by calories, similar to using food weight in grams.",Survey,,,
DR1IPROT,2,Protein (gm). May be useful to understand consumption based on a protein/carb/fat relationship.,Survey,,,
DR1IPFAT,2,Total fat (gm). May be useful to understand consumption based on a protein/carb/fat relationship.,Survey,,,
DR1IVARA,0,"Vitamin A, RAE (mcg). Not required for this analysis.",Survey,,,
DR1IVB12,0,Vitamin B12 (mcg). Not required for this analysis.,Survey,,,
DR1ICALC,0,Calcium (mg),Survey,,,
DR1IIRON,0,Iron (mg),Survey,,,
DR1IZINC,0,Zinc (mg),Survey,,,
DR1ISELE,0,Selenium (mcg),Survey,,,
DR1IP205,0,PFA 20:5 (Eicosapentaenoic) (gm),Survey,,,
DR1IP226,0,PFA 22:6 (Docosahexaenoic) (gm),Survey,,,
RIAGENDR,1,Gender of the sample person,Demographics,,,
RIDAGEYR,1,Best age in years of the sample person at time of HH screening. Individuals 80 and over are topcoded at 80 years of age.,Demographics,,,
RIDRETH1,2,Recode of reported race and ethnicity information.,Demographics,,,
DMDEDUC3,2,"Education Level - Children/Youth 6-19, (SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?",Demographics,,,
DMDEDUC2,2,"Education Level - Adults 20+, (SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?",Demographics,,,
DMDHHSIZ,2,Total number of people in the Household,Demographics,,,
DMDFMSIZ,2,Total number of people in the Family,Demographics,,,
INDHHIN2,1,Annual Household Income,Demographics,,,
INDFMIN2,1,Annual Family Income,Demographics,,,
INDFMPIR,1,Ratio of family income to poverty,Demographics,,,
SDMVPSU,2,Masked Variance Unit Pseudo-PSU variable for variance estimation,Demographics,,,
SDMVSTRA,2,Masked Variance Unit Pseudo-Stratum variable for variance estimation,Demographics,,,
SDDSRVYR,1,Data Release Number. Used to identify the survey year.,Demographics,,,
DESCRIPTION,1,Main variable of interest. Contains the text that will analyzed to assess the dietary complements for seafood consumption. ,Unknown,,,
RIDRETH3,0,,,,,
DR1I_PF_SEAFD_HI,3,Seafood dietary item,,,,
DR1I_PF_SEAFD_LOW,3,Seafood dietary item,,,,
DR1I_PF_CUREDMEAT,0,,,,,
DR1I_PF_ORGAN,0,,,,,
DR1I_PF_POULT,0,,,,,
DR1I_PF_MPS_TOTAL,0,,,,,
DR1I_PF_EGGS,0,,,,,
DR1I_PF_NUTSDS,0,,,,,
DR1I_PF_LEGUMES,0,,,,,
DR1I_PF_TOTAL,0,,,,,
DR1I_D_TOTAL,0,,,,,
DR1I_D_MILK,0,,,,,
DR1I_D_YOGURT,0,,,,,
DR1I_D_CHEESE,0,,,,,
WTDRD1_6YR,0,,,,,
DR1I_PF_SEAFD_TOT,1,Another main variable of interest. Seems to indetify if food item is a seafood item.,,,,
DR1I_PF_MEAT_TOT,0,,,,,
species,1,Identifies the seafood species,,,,
species_code,1,Seafood species code,,,,
DR1.030Z_2,0,,,,,
