,Count,Action,Side Dish 1,Side Dish 2,Side Dish 3
water,2237,Non-caloric. Can be removed,,,
rice,1679,Generic description of rice. There are more detailed rice descriptions. ,,,
soft drink,1458,,,,
white potato,1102,,potato,,
bread,1096,,,,
lettuce,894,,,,
tea,850,,,,
tomatoes,828,,,,
cheese,711,,,,
milk,519,,,,
tomato catsup,469,,,,
roll,455,Can combine with bread,bread,,
chicken,437,,,,
salsa,435,,,,
soy sauce,418,,,,
onions,377,,,,
carrots,375,,,,
broccoli,342,,,,
cookie,323,,,,
italian dressing,321,Can we combine all salad dressings together?,salad dressing,,
beans,316,,,,
butter,295,,,,
cucumber,292,,,,
coffee,289,,,,
corn,273,,,,
tortilla,272,,,,
wine,271,,,,
lemon juice,266,,,,
tartar sauce,262,,,,
crackers,256,,,,
beer,249,,,,
creamy dressing,246,Can we combine all salad dressings together?,salad dressing,,
fruit juice drink,245,,fruit juice,,
spinach,212,,,,
mayonnaise,210,,,,
cabbage,208,,,,
salty snacks,196,,,,
ice cream,187,,,,
beef steak,187,Can we just call it beef?,beef,,
orange juice,177,,,,
sugar,172,,,,
cabbage salad or coleslaw,172,,,,
potato,160,,potato,,
fruit flavored drink,157,,,,
pepper,157,,,,
macaroni or noodles with cheese,152,,,,
apple,151,,,,
egg,149,,,,
pork,143,,,,
cocktail sauce,136,,,,
mixed salad greens,132,,,,
cake,127,,,,
beef,125,,,,
apple juice,122,,,,
banana,117,,,,
orange,113,,,,
sugar substitute,111,,,,
squash,108,,,,
grapes,108,,,,
avocado,107,,,,
margarine-like spread,105,,,,
cracker,102,,,,
mushrooms,101,,,,
watermelon,97,,,,
olives,97,,,,
egg roll,95,,,,
croutons,92,,,,
hush puppy,92,,,,
margarine,91,,,,
peas,86,,,,
strawberries,85,,,,
cucumber pickles,82,,,,
pineapple,81,,,,
lo mein,81,,,,
mustard,81,,,,
fruit juice blend,80,,fruit juice,,
asparagus,80,,,,
yogurt,75,,,,
cream,72,,,,
cornbread,71,,,,
sour cream,70,,,,
white potato chips,70,Can be combined with ‘potato chips’,potato chips,,
ham,69,,,,
caesar dressing,69,Can we combine all salad dressings together?,salad dressing,,
endive,68,,,,
pudding,68,,,,
peach,67,,,,
spanish rice,66,Can be ingested by rice,rice,,
cream substitute,66,,,,
fruit flavored drink (formerly lemonade),66,,,,
gravy,66,,,,
vegetable combination (including carrots,65,,,,
pie,64,,,,
pinto,63,,,,
biscuit,63,,,,
sweet potato,61,,,,
beef and vegetables (including carrots,60,Can divide to ‘beef’ and ‘vegetables’,beef,vegetables,
cantaloupe (muskmelon),60,,,,
celery,60,,,,
bacon,59,,,,
cauliflower,59,,,,
sweet and sour sauce,56,,,,
cake or cupcake,56,Can be converted to ‘cake’,cake,,
hot pepper sauce,56,,,,
macaroni,55,,,,
vinegar,55,,,,
chicken or turkey and vegetables (including carrots,55,Can be converted to ‘poultry’ and ‘vegetables’,poultry,vegetables,
noodles,55,,,,
taco shell,54,,,,
radish,54,,,,
sucralose-based sweetener,53,,,,
lemonade,52,,,,
plantain,52,,,,
water as an ingredient,52,Can be removed,,,
egg omelet or scrambled egg,50,Can be converted to ‘egg’,egg,,
root beer,49,,,,
soybean curd,47,,,,
mixed vegetables (corn,47,Can be converted to ‘vegetables',vegetables,,
chicken patty,46,,,,
peppers,46,,,,
fish sauce (bagoong),45,Remove nick name to combine with other fish sauce,fish sauce,,
thousand island dressing,44,Can we combine all salad dressings together?,salad dressing,,
pear,44,,,,
onion rings,43,,,,
mayonnaise-type salad dressing,43,Can we combine all salad dressings together?,salad dressing,,
salad dressing,43,Can we combine all salad dressings together?,salad dressing,,
grits,43,,,,
beets,43,,,,
blue or roquefort cheese dressing,42,Can we combine all salad dressings together?,salad dressing,,
bagel,42,,,,
lime juice,41,,,,
carbonated water,41,Can be removed,,,
seaweed,41,,,,
guacamole,40,,,,
ground beef or patty,38,Can be converted to ‘beef',beef,,
milk chocolate candy,38,,,,
spaghetti sauce,37,,,,
sweet and sour chicken or turkey,37,Can be converted to ‘poultry',poultry,,
turkey,37,,,,
collards,37,,,,
honey,37,,,,
yellow rice,36,Can be converted to ‘rice’,rice,,
barbecue sauce,36,,,,
romaine lettuce,36,,,,
gelatin dessert,36,,,,
olive oil,35,,,,
sweetpotato,34,Insert space,sweet potato ,,
eggplant,34,,,,
potato salad with egg,34,Can be converted to ‘potato salad’ and ‘egg’,potato,egg,
chicken or turkey teriyaki (chicken or turkey with soy-based sauce),34,Can be converted to ‘poultry',poultry,,
mango,33,,,,
chicken or turkey with barbecue sauce,33,Can be converted to ‘poultry',poultry,,
chicken or turkey,33,Can be converted to ‘poultry',poultry,,
chicken or turkey and vegetables (excluding carrots,33,Can be converted to ‘poultry',poultry,,
refried beans,32,Can be converted to ‘beans',poultry,,
grape juice,32,,,,
light ice cream,31,,,,
steak sauce,31,,,,
black,31,This is referring to black beans. Looked up pre-processed data.,beans,,
potato salad,30,,,,
lemon chicken,30,Can be converted to ‘poultry',poultry,,
hard candy,30,,,,
blueberries,30,,,,
cilantro,30,,,,
ginger ale,30,Can be converted to ‘soft drink’,soft drink,,
peanut butter,29,,,,
almonds,28,,,,
baked beans,28,Can be converted to ‘beans’,beans,,
chicken nuggets,28,Can be converted to ‘poultry’,poultry,,
vegetable combination,28,Can be converted to ‘vegetables',vegetables,,
teriyaki sauce,28,,,,
green peppers and onions,28,Can be divided to ‘peppers’ and ‘onions’,peppers,onions,
soup,28,,,,
egg drop soup,28,Can be converted to ‘soup’,soup,Egg,
vegetables,28,,,,
cranberry juice drink or cocktail,28,,,,
applesauce,28,,,,
walnuts,27,,,,
meat loaf made with beef,27,Can be converted to ‘beef',beef,,
duck sauce,27,,,,
spaghetti with tomato sauce and meatballs or spaghetti with meat sauce or spaghetti with meat sauce and meatballs,27,"Can be converted to ‘noodles?’, ‘beef’, and ‘tomato sauce’",noodles,beef,tomato sauce
pork chop,27,Can be converted to ‘pork’,pork,,
cranberries,27,,,,
wasabi paste,27,,,,
potato chips,26,,,,
okra,26,,,,
doughnut,25,,,,
muffin,24,,,,
rice with beans,24,Can converted to ‘rice’ and to ‘beans’,rice,beans,
hot and sour soup,24,Can be converted to ‘soup’,soup,,
spaghetti with tomato sauce,24,Can be converted to ‘noodles?’ And ‘tomato sauce’,noodles,tomato sauce,
gatorade thirst quencher sports drink,24,Change name to consolidate with other gatorade,gatorade,,
honey mustard dressing,24,Can we combine all salad dressings together?,salad dressing,,
dip,24,,,,
vegetable soup,24,Can be converted to ‘soup',vegetables,soup,
chicken breast,24,Can be converted to ‘poultry’,poultry,,
cheesecake,23,,,,
white sauce,23,,,,
sesame dressing,23,Can we combine all salad dressings together?,salad dressing,,
peanuts,23,,,,
queso fresco,22,Can be converted to ‘cheese',cheese,,
bean sprouts,22,,,,
pork and beans,22,Can be converted to ‘pork’ and ‘beans’,pork,beans,
pizza,22,,,,
pizza with pepperoni,21,Can be combined with ‘pizza’,meat,pizza,
orange chicken,21,Can be converted to ‘poultry',poultry,,
tomato chili sauce (catsup-type),21,,,,
beef and vegetables (excluding carrots,21,Can be divided to ‘beef’ and ‘vegetables’,beef,vegetables,
chocolate milk,21,Can be converted to ‘milk’,milk,,
pork sausage,21,Can be converted to ‘pork',pork,,
croissant,21,,,,
chickpeas,20,,,,
sunflower seeds,20,,,,
ice cream cone,20,,,,
tangerine,20,,,,
mustard greens,20,,,,
french or catalina dressing,20,Can we combine all salad dressings together?,salad dressing,,
macaroni or noodles,20,Can be converted to ‘noodles',noodles,,
horchata beverage,20,,,,
won ton (wonton),19,"Rename to dumpling, to consolidate with other items",dumpling,,
cherries,19,,,,
fruit cocktail,19,,,,
spaghetti,19,Can be converted to ‘noodles',noodles,,
rice soup,18,Can be converted to ‘rice’,rice,soup,
tortilla chips,18,,,,
vodka,18,,,,
white beans,18,Can be converted to ‘beans’,beans,,
soybeans,18,,,,
cactus,18,,,,
red kidney beans,18,Can be converted to ‘beans’,beans,,
bacon bits,18,Can be converted to ‘pork',pork,,
lentils,18,,,,
pineapple juice,18,,,,
chocolate syrup,18,,,,
raisins,18,,,,
fish sauce,17,,,,
ground beef,17,Can be converted to ‘beef’,beef,,
sushi roll (maki or temaki),17,,,,
honeydew melon,17,,,,
pasta with vegetables,17,Can be converted to ‘noodles’ and ‘vegetables’,noodles,vegetables,
artichoke,17,,,,
vegetable curry,17,,,,
rice pilaf,16,Can be converted to ‘rice’,rice,,
chocolate,16,,,,
tomato soup,16,,,,
won ton (wonton) soup,16,"Rename to dumpling, to consolidate with other items",dumpling,Soup,
jelly,16,,,,
french dressing,16,Can we combine all salad dressings together?,salad dressing,,
dumpling,16,,,,
brussels sprouts,16,,,,
chow mein or chop suey,16,,,,
pretzels,16,,,,
frankfurter or hot dog,16,Can convert to ‘pork’,pork,,
vegetable combinations,15,Can convert to ‘vegetables’,vegetables,,
pork steak or cutlet,15,Can convert to ‘beef',beef,,
pork and vegetables (excluding carrots,15,Can convert to ‘pork’ and ‘vegetables’,pork,vegetables,
pork and vegetables (including carrots,15,Can convert to ‘pork’ and ‘vegetables’,pork,vegetables,
chicken or turkey vegetable soup,15,Can convert to ‘soup',poultry,vegetables,soup
raspberries,15,,,,
jambalaya with meat and rice,15,"Can be converted to ‘rice’, can be converted to ‘meat’, can be converted to ‘vegetables’",rice,meat,vegetables
greens,15,Can convert to ‘vegetables',vegetables,,
chow fun rice noodles,15,Can convert to ‘noodles',noodles,,
rice with vegetables (including carrots,14,"Can be converted to ‘rice’, can be converted to ‘vegetables’",rice,vegetables,
spaghetti with tomato sauce and vegetables,14,"Can convert to ‘noodles’, ‘tomato sauce’, ‘vegetables’",noodles,vegetables,tomato sauce
horseradish sauce,14,,,,
pork roast,14,Can convert to ‘pork’,pork,,
popcorn,14,,,,
chicken thigh,14,Can convert to ‘poultry’,poultry,,
cheese sauce,14,Can convert to ‘cheese’,cheese,,
fruit smoothie drink,14,Change name to consolidate with other smoothie,fruit smoothie,,
sausage (not cold cut),14,Can convert to ‘pork',pork,,
chicken curry,14,Can convert to ‘poultry’,poultry,,
vegetable combination (excluding carrots,14,Can convert to vegetables,vegetables,,
horseradish,14,,,,
fajita with chicken and vegetables,14,Can convert to poultry and vegetables,poultry,vegetables,
macaroni or pasta salad with cheese,14,Can convert to noodles and cheese,noodles,cheese,
quinoa,13,,,,
chicken tenders or strips,13,Can convert to poultry,poultry,,
pork bacon,13,Can convert to pork,pork,,
taco or tostada with meat,13,Can convert to tortilla and meat,tortilla,meat,
vegetable combinations (broccoli,13,Can convert to vegetables,vegetables,,
vegetable oil,13,,,,
peanut sauce,13,,,,
pepper steak,13,Can convert to beef,beef,,
whiskey,13,,,,
cantaloupe,13,,,,
duck,13,Can convert to poultry,poultry,,
ginger root,13,,,,
mixed nuts,13,,,,
cream soda,12,can convert to soft drink,soft drink,,
kale,12,,,,
mushroom soup,12,Can convert to soup,mushrooms,soup,
snowpea (pea pod),12,,,,
